Song #,Song name,Likes,Knows
1,Risk it all,None,Dont know
2,Opalite,None,Know
3,Man i need,None,Know
4,DAISIES,None,Dont know
5,Ordinary,None,Know
6,Be her,None,Dont know
7,E85,None,Dont know
8,Die on this hill,None,Dont know
9,Love Me not,None,Dont know
10,Homewrecker,None,Dont know
11,BAILE INoLVIDABLE,None,Dont know
12,GO,None,Dont know
13,So Easy(to fall in Love),None,Know
14,Midnight sun,None,Know
15,YUKON,None,Dont know
16,Choosin' Texas,None,Dont know
17,iloveitiloveitiloveit,None,Dont know
18,WHERE IS MY HUSBAND,None,Know
19,12 to 12,None,Dont know
20,i just might,None,Dont know
21,Babydoll,Okay,Dont know
22,choosin texas,okay,Know
23,stateside,okay,Know
24,Swim,Okay,Dont know
25,iloveitiloveitiloveit,Likes,Dont know
26,Man I need,Likes,Know
27,E85,okay,Dont know
28,risk it all,okay,Know
29,DtMF,Likes,Know
30,American Girls,Likes,Know
31,So Easy,Likes,Know
32,Body to body,Dont like,Dont know
33,White Keys,okay,Dont know
34,Mr. Brightside,likes,dont know
35,Body,Dont like,dont know
36,End of Beginning,okay,dont know
37,werent for the wind,okay,dont know
38,Golden,okay,Know
39,Fya,dont like,dont know
40,Hooligan,dont like,dont know
41,Where is my husband,Likes,Know
42,Black Quarterback,Dont like,Dont know
43,我们的歌谣,Okay,Dont know
44,Feelin Lovely,Okay,Dont know
45,When we were younger,Okay,Dont know
46,Kiss me,Okay,Familar
47,Attention,Likes,Dont know
48,嗵嗵,Okay,Dont know
49,东北民谣,Likes,Know
50,How much is weed?,likes,Dont know
51,Kiss of Venus,likes,Dont know
52,梅花三弄,okay,Dont know
53,Bang!,like,Dont know
54,Fly high!!!,okay,Dont know
55,Roommates,like,Dont know
56,酒歌,Dont like,Dont know
57,南屏晚钟,Okay,Dont know
58,the show,Like,Know
59,Good Time,Like,Know
60,STYX HELIX,okay,Dont know
